assessment,knapper,width_0.1,width_0.2,width_0.3,width_0.4,width_0.5,width_0.6,width_0.7,width_0.8,width_0.9,thickness_0.1,thickness_0.2,thickness_0.3,thickness_0.4,thickness_0.5,thickness_0.6,thickness_0.7,thickness_0.8,thickness_0.9,max_length
7,16,24.0157,37.74948,44.9834,43.77182,44.80052,45.05706,45.97654,39.2176,27.98064,9.471,15.032,18.76,20.959,21.876,22.854,22.059,15.735,10.205,82.9818
8,16,14.61516,25.63114,32.8295,38.9255,44.02836,51.7398,55.37708,57.43194,50.45456,8.708,12.575,16.168,19.73,23.658,24.267,20.796,17.081,11.144,63.5762
9,16,36.50234,49.7205,57.21096,59.34202,65.43802,66.3194,66.83248,62.611,60.66282,12.202,20.761,25.132,30.262,34.116,36.363,31.536,19.911,13.628,88.7222
1,17,35.03168,56.88076,71.86422,80.93456,83.5406,84.79028,84.86394,84.20354,48.43526,24.834,38.869,44.646,48.73,46.673,43.134,33.091,28.463,21.053,109.9566
2,17,49.64684,59.12104,67.27444,67.93484,80.12684,83.17484,85.04682,87.25154,77.77734,21.216,27.842,28.328,26.383,33.313,43.769,55.866,50.152,37.295,149.0218
3,17,24.45766,39.5859,51.63058,58.4962,64.07912,71.46036,71.09206,69.44106,61.28766,12.989,23.915,35.842,41.153,40.395,37.876,32.413,29.56,26.768,121.539
4,17,16.74622,34.29762,44.2849,51.4096,58.09234,63.82258,68.08216,73.33234,56.25846,11.061,16.984,21.578,28.015,35.419,41.886,49.743,50.74,39.982,123.3932
5,17,24.16302,33.19526,41.20134,44.6532,55.59552,63.2333,67.08902,65.21704,57.43194,12.202,18.791,26.6,32.609,33.891,33.372,31.694,30.199,20.53,109.5756
6,17,29.56052,53.4289,68.77812,83.68792,88.79332,84.5693,84.97316,78.10754,55.70728,13.48,25.505,33.744,37.167,39.076,42.105,40.378,35.774,26.293,97.9678
7,17,42.2656,50.30724,56.32958,57.47004,58.68162,59.34202,60.51804,58.31332,51.04384,18.175,23.628,29.08,32.776,37.562,38.834,35.502,29.171,18.448,87.0966
1,19,69.47662,83.8708,87.03056,94.44736,92.53728,87.10422,82.65922,81.96326,73.29678,45.382,54.108,55.058,54.286,49.121,50.902,51.555,53.633,41.583,138.176
2,19,27.13736,35.69208,42.9641,52.32908,60.9219,66.24574,66.79692,64.22644,45.79112,15.891,20.9,23.882,28.235,33.363,37.657,40.638,34.109,21.079,123.1646
3,19,31.39694,42.15638,47.73676,48.17872,46.56328,54.4957,60.11418,54.27472,40.39362,13.067,16.636,21.446,22.293,24.531,26.497,28.04,30.339,27.586,106.7054
4,19,28.93568,42.9641,52.29098,57.94756,57.8739,60.73648,58.38698,55.30342,41.05402,13.634,21.982,25.105,28.108,32.793,32.853,31.291,27.087,20.721,81.4578
5,19,21.77542,46.19498,55.00878,66.02476,76.05014,84.16544,92.94114,87.9475,57.06618,12.504,27.87,41.549,48.448,58.933,60.621,55.649,44.29,28.322,132.3848
6,19,26.43886,37.12464,46.19498,53.0987,58.75528,64.04356,67.89928,68.22948,63.08852,14.753,19.842,23.628,27.445,31.323,33.413,30.535,28.051,20.69,96.0628
7,19,28.34894,36.13404,42.66946,46.96714,47.0027,52.29098,51.30038,54.05374,49.7586,10.279,12.819,17.474,19.349,23.491,21.949,20.981,18.321,12.758,101.3968
8,19,22.40026,35.179,45.0215,51.18862,56.25846,61.50864,66.54038,62.86754,53.0987,12.616,25.052,28.485,30.231,30.412,27.822,23.727,15.838,12.948,97.2312
9,19,32.4993,45.71746,62.2808,75.31608,79.61122,79.94396,73.7362,73.18502,59.8932,17.216,25.883,31.372,36.89,42.079,44.808,42.349,35.391,25.253,93.3704
1,2,45.23994,61.2521,67.23634,82.40268,94.30004,101.35108,97.56902,85.74532,56.99252,35.229,39.469,43.678,44.962,49.261,53.441,56.187,50.276,33.139,111.4044
2,2,17.84604,31.83636,43.11142,52.95138,57.10174,60.62726,59.01182,54.89956,34.26206,15.385,25.031,31.502,34.646,33.883,33.639,31.441,29.121,10.134,102.0572
3,2,21.07692,33.41624,49.64684,60.84824,67.27444,66.83248,63.45428,58.90006,48.54702,17.067,25.387,28.879,27.908,27.452,26.845,25.326,22.654,17.158,80.8482
4,2,19.20494,25.96134,33.8201,48.76546,44.17568,43.40606,40.9448,39.18204,37.05098,11.851,14.555,18.657,24.066,24.461,25.281,21.149,16.408,14.16,76.8096
5,2,20.6375,32.97682,42.19194,49.49952,51.37404,55.96382,56.4769,53.06314,42.23004,5.427,12.195,17.5,20.122,20.823,21.646,21.677,18.476,12.134,72.4916
6,2,37.8968,35.98672,38.04412,37.60216,37.64026,39.51224,37.49294,36.97732,30.1117,13.396,16.107,21.051,22.007,23.347,23.379,23.953,24.463,20.381,92.5068
7,2,27.98064,40.83558,44.87418,49.0601,45.97654,45.09516,46.3423,46.48962,33.1216,8.762,17.128,20.262,23.061,23.456,24.095,23,22.087,17.584,109.8042
8,2,14.17574,21.40966,26.22042,30.91942,35.2171,37.31006,39.03472,37.16274,28.64358,6.426,10.588,15.851,22.399,26.408,24.755,23.072,19.217,14.627,65.6844
9,2,32.31388,36.28136,37.38372,39.14394,39.80688,40.31996,37.34562,35.03168,25.33904,5.958,11.885,18.087,22.09,24.259,26.551,25.787,22.518,16.651,78.74
1,21,36.64712,51.04384,56.55056,60.95746,65.43802,62.20714,62.64656,61.50864,52.95138,13.392,20.976,29.252,36.235,40.177,42.464,45.203,44.691,41.411,89.3826
2,21,27.54122,40.6146,53.94452,65.73266,70.79996,76.23302,72.30364,66.9798,50.97018,14.154,24.16,32.182,35.812,34.043,32.945,28.766,20.469,12.934,110.236
3,21,14.28496,21.81352,27.62504,34.1884,40.2463,45.05706,49.53762,49.79416,36.94176,10.917,14.79,20.096,23.298,27.049,28.94,27.659,23.786,15.522,87.2236
4,21,13.2207,19.79168,29.7434,35.69208,41.53154,46.63694,52.21732,56.32958,46.19498,13.09,21.858,30.411,35.684,36.052,29.951,25.23,20.877,16.493,125.984
5,21,14.83614,24.45766,29.083,35.06978,41.71442,47.0027,53.39334,59.15914,50.67554,10.787,17.793,23.94,27.566,33.19,39.213,39.828,37.615,25.292,147.0406
6,21,14.28496,22.47392,29.96438,36.39058,37.31006,38.74008,41.89984,41.82618,33.1216,12.547,14.047,17.475,20.627,24.636,30.328,28.247,21.82,13.894,92.3544
7,21,26.58618,40.17264,49.24298,57.5056,67.6783,75.57262,80.01508,76.63688,64.9224,13.105,20.152,25.524,33.943,42.781,51.543,51.771,39.962,29.867,174.4218
8,21,29.4513,47.88408,60.14974,69.40296,77.26172,78.06944,77.4827,70.21068,58.166,9.417,15.816,22.88,33.746,40.869,44.069,43.526,36.281,25.898,137.7696
9,21,12.59586,21.11502,28.86202,36.83254,43.18508,49.83226,57.21096,57.13984,47.73676,8.588,17.176,26.731,29.997,32.416,35.077,35.924,28.666,14.908,86.7664
1,3,37.71392,63.74892,72.4154,81.41208,79.90586,68.77812,57.28462,50.89652,36.06038,21.437,28.038,32.017,35.996,37.446,36.86,31.123,27.853,23.165,94.8182
2,3,17.48028,33.34258,44.54398,62.16904,75.24242,74.21372,67.6402,53.06314,30.95498,29.245,37.432,41.236,43.305,43.579,45.283,47.809,42.362,21.637,99.2124
3,3,18.2499,31.50616,47.73676,59.59856,72.0852,75.53706,69.62394,62.79388,36.39058,17.299,28.437,28.164,24.825,22.033,20.546,19.211,13.536,10.046,85.6996
4,3,34.59226,42.37736,47.3329,48.54702,51.92522,49.0601,43.91914,41.09212,27.54122,10.15,14.443,15.21,16.927,19.442,22.57,24.686,28.335,26.802,64.8462
5,3,14.06398,26.32964,39.76878,51.52136,58.79084,64.04356,63.63716,60.5536,55.52186,8.712,14.164,19.86,24.002,26.196,28.145,26.683,23.454,18.306,89.7382
7,3,30.40634,38.07968,46.08576,50.85842,54.05374,54.01818,55.74284,54.71414,44.35856,20.646,26.614,27.223,25.274,25.396,27.467,26.979,21.985,15.408,114.681
1,5,44.87418,63.2333,81.30032,88.75522,88.3158,86.84514,82.40268,74.50836,46.45152,43.692,59.494,66.92,67.956,68.302,68.863,64.675,67.006,59.278,117.6528
2,5,26.43886,44.39666,60.62726,74.98588,82.9183,79.35468,73.33234,62.611,35.47364,8.711,16.521,24.602,31.06,35.987,35.356,30.069,21.388,11.715,95.4278
3,5,38.11778,50.63998,57.61482,60.62726,64.99606,63.08852,57.68848,52.47386,33.26892,8.031,17.331,26.842,33.152,35.598,33.665,31.944,29.076,22.977,85.2932
4,5,19.75612,32.42564,39.32936,42.81678,43.03776,42.48658,37.34562,33.01238,27.94508,7.92,13.25,15.656,19.22,19.86,17.697,15.078,11.24,7.219,62.5094
5,5,18.288,28.4226,40.98036,45.53458,48.3997,44.80052,42.9641,46.41596,37.5285,7.443,11.165,15.461,17.307,20.303,22.844,22.572,19.455,14.735,82.3214
8,5,10.06094,18.21434,27.54122,36.06038,41.12768,46.04766,45.97654,43.69816,33.34258,6.987,12.825,19.177,21.476,23.956,25.59,26.346,22.323,15.064,89.2302
9,5,45.90288,58.97372,73.92162,87.9475,98.26752,107.48264,99.22256,94.3737,67.05346,31.249,37.913,47.667,54.2,61.173,60.908,60.467,57.024,29.042,126.1872
1,6,18.21434,32.35198,42.92854,52.29098,53.4289,60.40628,60.51804,55.59552,38.37432,9.884,15.759,19.302,22.815,27.353,28.69,24.307,19.427,15.883,96.5708
2,6,20.41652,30.22092,40.2463,47.62754,52.29098,58.35142,52.36464,42.41292,25.7429,13.02,19.067,27.181,38.628,44.089,43.04,39.276,32.611,13.729,92.71
3,6,23.79472,31.28772,33.78454,36.57346,36.75888,39.73322,39.32936,36.79444,27.24658,7.104,12.564,17.341,17.652,16.411,16.038,13.619,12.285,9.741,51.9176
5,6,22.10562,34.37128,49.61128,58.46064,65.80378,56.73598,52.73294,43.55084,28.16606,14.683,14.9,15.55,15.612,13.847,14.683,15.179,15.953,12.298,92.456
6,6,19.02206,54.34838,70.98284,79.35468,84.67852,85.9282,88.20404,68.0085,54.1274,61.935,67.343,66.175,66.298,62.734,63.963,59.908,55.238,39.939,105.2322
1,7,29.96438,42.2656,54.27472,63.9318,73.25868,78.87716,88.57234,79.97952,60.77458,41.026,37.155,35.894,33.433,30.702,29.052,27.221,22.179,13.385,91.3384
2,7,18.80108,29.19476,35.76574,49.35474,53.467,54.60492,57.57926,58.09234,54.64048,11.707,18.713,26.993,30.178,34.242,36.669,38.822,37.396,32.24,128.6002
3,7,25.92578,34.44494,45.97654,56.1467,65.43802,63.71082,62.39002,54.34838,47.95774,14.236,21.747,26.623,28.138,29.501,36.982,33.862,28.198,20.717,130.8354
4,7,13.95476,23.86838,32.24022,37.97046,40.6146,41.6433,42.81678,40.9067,35.62096,4.399,7.82,9.867,11.913,14.082,13.655,13.41,10.356,9.5,65.5066
5,7,15.12824,23.75916,30.66288,38.26256,42.5958,42.9641,46.63694,44.6532,33.89376,8.018,16.985,23.963,26.289,25.432,22.586,19.495,16.098,11.14,68.7324
8,7,22.54758,34.59226,47.95774,54.7878,59.1947,62.2808,61.83884,57.5056,43.6245,14.927,22.314,25.597,26.57,24.473,22.162,20.125,16.416,9.242,100.9904
